"Avibase.ID","spname","Species","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
"AVIBASE-FBED1927","Parabuteo unicinctus","Parabuteo unicinctus","9/28/2022",2480410,204489,204456,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480410&occurrence_status=present","manual",186339,3161.8,2604.2,43.03,-12.73
"AVIBASE-7AB0F3A4","Parkesia motacilla","Parkesia motacilla","9/28/2022",6093862,400110,400065,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093862&occurrence_status=present","manual",319814,3134.8,2563.6,40.33,-16.79
"AVIBASE-709AF716","Parkesia noveboracensis","Parkesia noveboracensis","9/28/2022",6093856,903861,903739,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093856&occurrence_status=present","manual",435685,3174.2,2391.4,44.27,-34.01
"AVIBASE-9BE53D34","Parus caeruleus","Parus caeruleus","9/28/2022",8191482,469085,462589,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8191482&occurrence_status=present","manual",372365,3088,2531.8,35.65,-19.97
"AVIBASE-E15BC0CB","Parus major","Parus major","9/28/2022",9705453,8145739,8133232,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9705453&occurrence_status=present","manual",3827422,3198.4,2357.8,46.6900000000001,-37.3699999999999
"AVIBASE-523763E5","Parus palustris","Parus palustris","9/24/2022",8126684,63761,61954,NA,"code",39682,3032.8,2423,30.1300000000001,-30.85
"AVIBASE-240E3390","Passer domesticus","Passer domesticus","9/28/2022",5231190,15401834,15387842,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231190&occurrence_status=present","manual",6534891,3199,2321.8,46.75,-40.97
"AVIBASE-C22FBF8D","Passer montanus","Passer montanus","9/28/2022",5231198,2496185,2488782,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231198&occurrence_status=present","manual",872595,3150.4,2314.2,41.89,-41.73
"AVIBASE-3C974C47","Passerculus sandwichensis","Passerculus sandwichensis","9/28/2022",5231142,2786698,2786341,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231142&occurrence_status=present","manual",1219346,3183,2363.8,45.15,-36.77
"AVIBASE-0B1B2EB6","Passerella iliaca","Passerella iliaca","9/28/2022",2491872,1318128,1318051,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491872&occurrence_status=present","manual",891686,3169.6,2375.6,43.81,-35.59
"AVIBASE-9F67F3AF","Passerina amoena","Passerina amoena","9/28/2022",5230861,416016,415896,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230861&occurrence_status=present","manual",166502,3178.4,2511.6,44.6900000000001,-21.99
"AVIBASE-A7A75EA1","Passerina caerulea","Passerina caerulea","9/28/2022",5230862,806273,806212,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230862&occurrence_status=present","manual",455924,3170.2,2541.8,43.87,-18.97
"AVIBASE-0BDB87DE","Passerina ciris","Passerina ciris","9/28/2022",5230852,374223,374033,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230852&occurrence_status=present","manual",157518,3163.8,2521.2,43.23,-21.03
"AVIBASE-043F337A","Passerina cyanea","Passerina cyanea","9/28/2022",2490327,2509202,2509078,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490327&occurrence_status=present","manual",1120567,3172,2444.4,44.05,-28.71
"AVIBASE-1680EFDE","Passerina versicolor","Passerina versicolor","9/24/2022",5230855,53772,53740,NA,"code",49733,3147.2,2611.6,41.57,-11.99
"AVIBASE-3B008E78","Patagioenas fasciata","Patagioenas fasciata","9/28/2022",2495266,619513,619478,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495266&occurrence_status=present","manual",412766,3167.8,2493.6,43.6300000000001,-23.79
"AVIBASE-5F571C8A","Patagioenas leucocephala","Patagioenas leucocephala","9/24/2022",2495310,81122,81113,NA,"code",45459,3071.4,2812.8,33.99,8.13000000000005
"AVIBASE-866903B9","Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","9/28/2022",5229155,1386233,1386203,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229155&occurrence_status=present","manual",602414,3171.4,2453.6,43.99,-27.79
"AVIBASE-F59AB6B3","Pelecanus occidentalis","Pelecanus occidentalis","9/28/2022",5229158,1775955,1775336,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229158&occurrence_status=present","manual",392292,3162,2573,43.05,-15.85
"AVIBASE-C013A20E","Perdix perdix","Perdix perdix","9/28/2022",2473958,495623,494062,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2473958&occurrence_status=present","manual",363321,3086.8,2478.8,35.53,-25.27
"AVIBASE-69A6E32F","Perisoreus canadensis","Perisoreus canadensis","9/28/2022",2482436,301213,301053,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482436&occurrence_status=present","manual",269402,3097.6,2389.8,36.61,-34.17
"AVIBASE-79A1EDEC","Petrochelidon fulva","Petrochelidon fulva","9/28/2022",2489166,125648,125636,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489166&occurrence_status=present","manual",54290,3152.8,2574,42.1300000000001,-15.75
