Avibase.ID,spname,Species,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments,gbif_dwnld_type
AVIBASE-80C297E6,Loxia leucoptera,Loxia leucoptera,9/28/2022,8144830,242159,239648,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8144830&occurrence_status=present,manual
AVIBASE-135564AA,Loxia sinesciuris / curvirostra,Loxia curvirostra,9/28/2022,9629160,1048042,1046471,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9629160&occurrence_status=present,manual
AVIBASE-6EC66752,Luscinia luscinia,Luscinia luscinia,9/28/2022,2492542,384286,377693,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492542&occurrence_status=present,manual
AVIBASE-AFD6FD81,Luscinia svecica,Luscinia svecica,9/28/2022,4408732,745855,742656,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4408732&occurrence_status=present,manual
AVIBASE-D201EB72,Mareca americana,Mareca americana,9/28/2022,2498155,2369221,2369138,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498155&occurrence_status=present,manual
AVIBASE-C235A4D7,Mareca strepera,Mareca strepera,9/28/2022,9362027,4151745,4149567,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9362027&occurrence_status=present,manual
AVIBASE-3558066B,Megaceryle alcyon,Megaceryle alcyon,9/28/2022,2475472,4547547,4546951,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2475472&occurrence_status=present,manual
AVIBASE-88C719E5,Melanerpes aurifrons,Melanerpes aurifrons,9/28/2022,2478081,659364,659309,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478081&occurrence_status=present,manual
AVIBASE-078557F2,Melanerpes carolinus,Melanerpes carolinus,9/28/2022,2478106,9518947,9518904,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478106&occurrence_status=present,manual
AVIBASE-448D91B7,Melanerpes erythrocephalus,Melanerpes erythrocephalus,9/28/2022,2478130,990871,990828,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478130&occurrence_status=present,manual
AVIBASE-7E327303,Melanerpes formicivorus,Melanerpes formicivorus,9/28/2022,2478133,1102070,1101998,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478133&occurrence_status=present,manual
AVIBASE-E7C9A1F5,Melanerpes lewis,Melanerpes lewis,9/28/2022,2478142,107246,107217,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478142&occurrence_status=present,manual
AVIBASE-377525FA,Melanerpes uropygialis,Melanerpes uropygialis,9/28/2022,2478112,518903,518876,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2478112&occurrence_status=present,manual
AVIBASE-B7B1A5DD,Melanitta americana,Melanitta americana,9/28/2022,2498250,397660,397652,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498250&occurrence_status=present,manual
AVIBASE-9C5ED06A,Meleagris gallopavo,Meleagris gallopavo,9/28/2022,9606290,1755893,1753247,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9606290&occurrence_status=present,manual
AVIBASE-4E192262,Melospiza georgiana,Melospiza georgiana,9/28/2022,2492235,2042278,2042238,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492235&occurrence_status=present,manual
AVIBASE-AF49F890,Melospiza lincolnii,Melospiza lincolnii,9/28/2022,2492192,1306305,1306143,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492192&occurrence_status=present,manual
AVIBASE-A5F09E05,Melospiza melodia,Melospiza melodia,9/28/2022,2492196,14014185,14013872,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492196&occurrence_status=present,manual
AVIBASE-2C9B6D93,Melozone aberti,Melozone aberti,9/28/2022,7341587,321662,321629,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341587&occurrence_status=present,manual
AVIBASE-B745D852,Melozone crissalis,Melozone crissalis,9/28/2022,7341600,1247980,1247964,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341600&occurrence_status=present,manual
AVIBASE-FE69A9C4,Melozone fusca,Melozone fusca,9/28/2022,7341622,316071,316042,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7341622&occurrence_status=present,manual
AVIBASE-407E2CA8,Mergus merganser,Mergus merganser,9/28/2022,9537647,3753319,3749426,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9537647&occurrence_status=present,manual
AVIBASE-7EFF698D,Mimus polyglottos,Mimus polyglottos,9/28/2022,5231677,7546362,7546273,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231677&occurrence_status=present,manual
AVIBASE-4D207AF6,Mniotilta varia,Mniotilta varia,9/28/2022,2489613,2173641,2173559,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489613&occurrence_status=present,manual
AVIBASE-EAEEA093,Molothrus aeneus,Molothrus aeneus,9/28/2022,2484404,234821,234810,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484404&occurrence_status=present,manual
AVIBASE-1E1AB415,Molothrus ater,Molothrus ater,9/28/2022,2484391,5346302,5346073,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2484391&occurrence_status=present,manual
AVIBASE-534FB490,Morus bassanus,Morus bassanus,9/28/2022,2480964,1027199,1024219,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480964&occurrence_status=present,manual
AVIBASE-5487B650,Motacilla tschutschensis,Motacilla tschutschensis,9/24/2022,2490303,93787,93777,NA,code
AVIBASE-EE8206E7,Muscicapa striata,Muscicapa striata,9/28/2022,2492576,888931,884990,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492576&occurrence_status=present,manual
AVIBASE-5459228D,Myadestes townsendi,Myadestes townsendi,9/28/2022,2490849,351648,351548,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490849&occurrence_status=present,manual
AVIBASE-19196211,Mycteria americana,Mycteria americana,9/28/2022,2481937,540955,540918,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481937&occurrence_status=present,manual
AVIBASE-E0A04985,Myiarchus cinerascens,Myiarchus cinerascens,9/28/2022,2483600,494205,494107,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483600&occurrence_status=present,manual
AVIBASE-8D6D5F2B,Myiarchus crinitus,Myiarchus crinitus,9/28/2022,2483597,2282070,2282012,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483597&occurrence_status=present,manual
AVIBASE-3D57A982,Myiarchus tuberculifer,Myiarchus tuberculifer,9/28/2022,2483531,311501,311383,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483531&occurrence_status=present,manual
AVIBASE-FC9E06A0,Myiarchus tyrannulus,Myiarchus tyrannulus,9/28/2022,2483589,226254,226165,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483589&occurrence_status=present,manual
AVIBASE-3255D987,Myioborus pictus,Myioborus pictus,9/28/2022,2489850,105926,105894,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489850&occurrence_status=present,manual
