"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type"
1450,"Cyprinus carpio","Linnaeus, 1758","Cyprinus carpio","2022-09-16",4286975,195697,192032,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4286975&occurrence_status=present","manual"
1604,"Dorosoma cepedianum","(Lesueur, 1818)","Dorosoma cepedianum","2022-09-16",2413541,77373,34152,NA,"code"
1606,"Dorosoma petenense","(Günther, 1867)","Dorosoma petenense","2022-09-16",2413553,33285,15455,NA,"code"
258,"Esox lucius","Linnaeus, 1758","Esox lucius","2022-09-16",2346633,617487,614328,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2346633&occurrence_status=present","manual"
2711,"Esox masquinongy","Mitchill, 1824","Esox masquinongy","2022-09-16",2346634,7512,7508,NA,"code"
3398,"Etheostoma asprigene","(Forbes, 1878)","Etheostoma asprigene","2022-09-16",2382313,572,571,NA,"code"
3402,"Etheostoma blennioides","Rafinesque, 1819","Etheostoma blennioides","2023-08-02",2382397,9140,9140,NA,"code"
3407,"Etheostoma chlorobranchium","Zorach, 1972","Etheostoma chlorobranchium","2023-08-02",2382327,421,421,NA,"code"
3420,"Etheostoma exile","(Girard, 1859)","Etheostoma exile","2022-09-16",2382377,3807,3804,NA,"code"
3445,"Etheostoma nigrum","Rafinesque, 1820","Etheostoma nigrum","2022-09-16",2382319,22437,22428,NA,"code"
3450,"Etheostoma olmstedi","Storer, 1842","tessellated darter","2022-09-16",2382257,7487,7487,NA,"code"
10534,"Etheostoma vulneratum","(Cope, 1870)","Etheostoma vulneratum","2023-08-02",2382220,184,184,NA,"code"
3197,"Fundulus notatus","(Rafinesque, 1820)","Fundulus notatus","2022-09-16",5203690,6632,6619,NA,"code"
7544,"Galaxias brevipinnis","Günther, 1866","Galaxias brevipinnis","2023-08-02",5214227,11629,11629,NA,"code"
22531,"Galaxias vulgaris","Stokell, 1949","Galaxias vulgaris","2023-08-02",5214246,5965,5965,NA,"code"
3215,"Gambusia affinis","(Baird & Girard, 1853)","Gambusia affinis","2022-09-16",2350580,46642,46590,NA,"code"
2420,"Gasterosteus aculeatus","Linnaeus, 1758","Gasterosteus aculeatus","2022-09-16",4286327,181523,174440,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4286327&occurrence_status=present","manual"
4478,"Gobio gobio","(Linnaeus, 1758)","Gobio gobio","2022-09-16",4409628,896394,896163,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4409628&occurrence_status=present","manual"
62429,"Gobio lozanoi","Doadrio & Madeira, 2004","Gobio lozanoi","2022-09-16",4409629,13117,12913,NA,"code"
22535,"Gobiomorphus breviceps","(Stokell, 1939)","Gobiomorphus breviceps","2023-08-02",2386388,15702,15702,NA,"code"
4474,"Gymnocephalus cernua","(Linnaeus, 1758)","Gymnocephalus cernua","2022-09-16",5209574,317024,315173,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5209574&occurrence_status=present","manual"
2666,"Hiodon alosoides","(Rafinesque, 1819)","Hiodon alosoides","2022-09-16",2402320,781,779,NA,"code"
2990,"Hypentelium nigricans","(Lesueur, 1817)","Hypentelium nigricans","2022-09-16",2358931,12288,12283,NA,"code"
274,"Hypophthalmichthys molitrix","(Valenciennes, 1844)","Hypophthalmichthys molitrix","2022-09-16",2362473,5448,5447,NA,"code"
275,"Hypophthalmichthys nobilis","(Richardson, 1845)","Hypophthalmichthys nobilis","2022-09-16",2362486,2075,2075,NA,"code"
2518,"Ichthyomyzon greeleyi","Hubbs & Trautman, 1937","Ichthyomyzon greeleyi","2023-08-02",2421252,424,424,NA,"code"
3019,"Ictalurus furcatus","(Valenciennes, 1840)","Ictalurus furcatus","2022-09-16",5202525,28659,6675,NA,"code"
290,"Ictalurus punctatus","(Rafinesque, 1818)","Ictalurus punctatus","2022-09-16",5202520,40377,40335,NA,"code"
2992,"Ictiobus bubalus","(Rafinesque, 1818)","Ictiobus bubalus","2022-09-16",2359075,11059,2956,NA,"code"
2993,"Ictiobus cyprinellus","(Valenciennes, 1844)","Ictiobus cyprinellus","2022-09-16",2359081,2635,2631,NA,"code"
2994,"Ictiobus niger","(Rafinesque, 1819)","Ictiobus niger","2022-09-16",2359079,335,333,NA,"code"
3238,"Labidesthes sicculus","(Cope, 1865)","Labidesthes sicculus","2022-09-16",2412271,12740,12728,NA,"code"
1075,"Lepisosteus oculatus","Winchell, 1864","Lepisosteus oculatus","2022-09-16",2346692,34062,4908,NA,"code"
1076,"Lepisosteus osseus","(Linnaeus, 1758)","Lepisosteus osseus","2022-09-16",2346701,14853,6764,NA,"code"
2597,"Lepisosteus platostomus","Rafinesque, 1820","Lepisosteus platostomus","2022-09-16",2346740,889,889,NA,"code"
3370,"Lepomis auritus","(Linnaeus, 1758)","Lepomis auritus","2023-08-02",2394491,24557,24557,NA,"code"
3371,"Lepomis cyanellus","Rafinesque, 1819","Lepomis cyanellus","2022-09-16",2394494,38697,38648,NA,"code"
3372,"Lepomis gibbosus","(Linnaeus, 1758)","Lepomis gibbosus","2022-09-16",2394486,168651,168074,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2394486&occurrence_status=present","manual"
