"spname","poscorsite","negcorsite","zerocorsite","poscorval","negcorval","zerocorval","occur_sites","avgcorval"
"Eudocimus albus",10,11,0,1.99457427410296,-2.07658363879509,0,21,-0.00390520784248212
"Euphagus carolinus",3,0,0,1.3081915685796,0,0,3,0.436063856193199
"Euphagus cyanocephalus",128,99,0,28.3627250942677,-17.9721269861866,0,227,0.0457735599474937
"Falco columbarius",1,0,0,0.202247192262733,0,0,1,0.202247192262733
"Falco peregrinus",1,0,0,0.249638448535518,0,0,1,0.249638448535518
"Falco sparverius",108,66,0,23.6984808829259,-9.79183824886221,0,174,0.0799232335291017
"Ficedula hypoleuca",2,0,0,0.724061371235068,0,0,2,0.362030685617534
"Fringilla coelebs",0,2,0,0,-0.0277697146879809,0,2,-0.0138848573439904
"Fringilla montifringilla",0,1,0,0,-0.291747888239116,0,1,-0.291747888239116
"Fulica americana",27,30,0,6.53221147173251,-5.74436200292237,0,57,0.0138219205054411
"Gallinago delicata",78,113,1,18.0043637638387,-21.1579934232491,0,192,-0.0164251544760962
"Gallinago gallinago",0,1,0,0,-0.292340595603322,0,1,-0.292340595603322
"Gallinula galeata",3,2,0,0.359602621369415,-0.391547893276703,0,5,-0.00638905438145758
"Gavia immer",25,21,0,5.09812205363956,-3.17017147209451,0,46,0.0419119691640228
"Geococcyx californianus",16,5,0,3.51760271095311,-0.857185129022081,0,21,0.126686551520525
"Geothlypis formosa",59,41,0,11.3048291611912,-7.03595827974059,0,100,0.0426887088145061
"Geothlypis philadelphia",39,35,0,6.95041988599332,-5.06989615670456,0,74,0.0254124828282265
"Geothlypis tolmiei",61,33,0,15.9840167904292,-6.29291025774422,0,94,0.103096878007287
"Geothlypis trichas",424,402,0,91.6550463097361,-67.4707760580786,0,826,0.0292787775443796
"Gull sp.",1,3,0,0.159076256991456,-0.601914838081234,0,4,-0.110709645272445
"Gymnorhinus cyanocephalus",14,19,0,2.52269179994269,-3.66256761015872,0,33,-0.0345416912186675
"Haematopus bachmani",0,1,0,0,-0.301380089476643,0,1,-0.301380089476643
"Haematopus palliatus",0,1,0,0,-0.355537694379619,0,1,-0.355537694379619
"Haemorhous cassinii",31,15,0,6.04630525214921,-2.77876437660645,0,46,0.0710334972944079
"Haemorhous mexicanus",243,259,0,52.7601889891012,-45.540045113004,0,502,0.0143827567252932
"Haemorhous purpureus",63,64,0,12.4406754601555,-10.1165686691947,0,127,0.0183000534721322
"Haliaeetus leucocephalus",11,9,0,1.84777941389362,-1.36715144846513,0,20,0.0240313982714249
"Helmitheros vermivorum",18,22,0,3.74953728405709,-3.16348992641075,0,40,0.0146511839411586
"Himantopus mexicanus",2,2,0,0.805615019560456,-0.533144484080968,0,4,0.0681176338698722
"Hippolais icterina",0,1,0,0,-0.0914128033216232,0,1,-0.0914128033216232
