"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
3372,"Lepomis gibbosus","(Linnaeus, 1758)","Lepomis gibbosus","2022-09-16",2394486,168651,168074,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2394486&occurrence_status=present","manual",4069,3060,2555.8,32.85,-17.57
3373,"Lepomis gulosus","(Cuvier, 1829)","Lepomis gulosus","2022-09-16",2394507,18419,18389,NA,"code",8608,3161.6,2572.2,43.01,-15.93
3374,"Lepomis humilis","(Girard, 1858)","Lepomis humilis","2022-09-16",2394483,7611,7604,NA,"code",1678,3084,2564.6,35.25,-16.69
3375,"Lepomis macrochirus","Rafinesque, 1819","Lepomis macrochirus","2022-09-16",2394503,136123,135903,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2394503&occurrence_status=present","manual",61954,3162,2540,43.05,-19.15
3377,"Lepomis megalotis","(Rafinesque, 1820)","Lepomis megalotis","2022-09-16",2394510,27247,27214,NA,"code",4541,3098.4,2560.6,36.6900000000001,-17.09
4662,"Leuciscus leuciscus","(Linnaeus, 1758)","Leuciscus leuciscus","2022-09-16",4409641,171646,169875,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4409641&occurrence_status=present","manual",166398,3040.8,2518,30.9300000000001,-21.35
310,"Lota lota","(Linnaeus, 1758)","Lota lota","2022-09-16",2415460,225379,223234,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2415460&occurrence_status=present","manual",219381,3056.4,2385.4,32.49,-34.61
46094,"Luciobarbus graellsii","(Steindachner, 1866)","Luciobarbus graellsii","2022-09-16",2363097,16715,16715,NA,"code",16586,3065,2658.8,33.35,-7.26999999999998
2850,"Luxilus coccogenis","(Cope, 1868)","Luxilus coccogenis","2022-09-16",2366963,2187,2187,NA,"code",328,3046.2,2684.4,31.47,-4.70999999999998
2851,"Luxilus cornutus","(Mitchill, 1817)","Luxilus cornutus","2022-09-16",2366967,15361,15355,NA,"code",6923,3054.6,2530.8,32.31,-20.07
2778,"Macrhybopsis aestivalis","(Girard, 1856)","Macrhybopsis aestivalis","2022-09-16",2362048,3480,3461,NA,"code",63,3101.2,2640,36.97,-9.14999999999998
2792,"Macrhybopsis storeriana","(Kirtland, 1845)","Macrhybopsis storeriana","2022-09-16",2362045,2820,2797,NA,"code",536,3076.6,2572.4,34.51,-15.91
3382,"Micropterus dolomieu","Lacepède, 1802","Micropterus dolomieu","2022-09-16",5211250,51361,51348,NA,"code",44553,3161,2531,42.95,-20.05
3385,"Micropterus salmoides","(Lacepède, 1802)","Micropterus salmoides","2022-09-16",2394563,140856,135483,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2394563&occurrence_status=present","manual",4140,3153.6,2559.4,42.21,-17.21
2996,"Minytrema melanops","(Rafinesque, 1820)","Minytrema melanops","2022-09-16",2358945,5820,5817,NA,"code",2701,3079.2,2587.2,34.77,-14.43
355,"Morone americana","(Gmelin, 1789)","Morone americana","2022-09-16",2394604,11410,11407,NA,"code",9016,3063.6,2570.6,33.21,-16.09
3308,"Morone chrysops","(Rafinesque, 1820)","Morone chrysops","2022-09-16",2394598,12215,12204,NA,"code",9796,3140.2,2547.2,40.87,-18.43
3309,"Morone mississippiensis","Jordan & Eigenmann, 1887","Morone mississippiensis","2022-09-16",2394610,5127,2117,NA,"code",1719,3145,2593,41.35,-13.85
2997,"Moxostoma anisurum","(Rafinesque, 1820)","Moxostoma anisurum","2022-09-16",2358964,2854,2848,NA,"code",1708,3057.8,2541.2,32.6300000000001,-19.03
3000,"Moxostoma carinatum","(Cope, 1870)","Moxostoma carinatum","2022-09-16",2358998,641,641,NA,"code",163,3057.6,2577.4,32.61,-15.41
3004,"Moxostoma erythrurum","(Rafinesque, 1818)","Moxostoma erythrurum","2022-09-16",2358966,7796,7794,NA,"code",2104,3073,2559.2,34.15,-17.23
3008,"Moxostoma macrolepidotum","(Lesueur, 1817)","Moxostoma macrolepidotum","2022-09-16",2359006,5433,5428,NA,"code",2957,3054.2,2521.2,32.27,-21.03
2810,"Nocomis micropogon","(Cope, 1865)","Nocomis micropogon","2022-09-16",2365441,4441,4440,NA,"code",1025,3055,2625.8,32.35,-10.5699999999999
276,"Notemigonus crysoleucas","(Mitchill, 1814)","Notemigonus crysoleucas","2022-09-16",2363714,31548,31485,NA,"code",18870,3161.2,2527.2,42.97,-20.43
2824,"Notropis atherinoides","Rafinesque, 1818","Notropis atherinoides","2022-09-16",2362170,15572,15530,NA,"code",7618,3083.4,2532.2,35.1900000000001,-19.93
2831,"Notropis blennius","(Girard, 1856)","Notropis blennius","2022-09-16",2362130,1424,1413,NA,"code",57,3065.8,2578.4,33.4300000000001,-15.3099999999999
2864,"Notropis heterodon","(Cope, 1865)","Notropis heterodon","2022-09-16",2362223,1705,1705,NA,"code",533,3008,2559.8,27.65,-17.17
2865,"Notropis heterolepis","Eigenmann & Eigenmann, 1893","Notropis heterolepis","2022-09-16",2362139,3278,3278,NA,"code",1047,3010.6,2539.8,27.91,-19.17
2867,"Notropis hudsonius","(Clinton, 1824)","Notropis hudsonius","2022-09-16",2362185,20548,20541,NA,"code",15461,3064.6,2488.6,33.31,-24.29
2872,"Notropis leuciodus","(Cope, 1868)","Notropis leuciodus","2022-09-16",2362269,1770,1770,NA,"code",135,3046.4,2690,31.49,-4.14999999999998
2875,"Notropis lutipinnis","(Jordan & Brayton, 1878)","Notropis lutipinnis","2022-09-16",2362319,1051,1051,NA,"code",351,3062.4,2713.2,33.09,-1.82999999999998
2899,"Notropis shumardi","(Girard, 1856)","Notropis shumardi","2022-09-16",2362244,601,594,NA,"code",23,3082.6,2730.8,35.11,-0.0699999999999363
2902,"Notropis spectrunculus","(Cope, 1868)","Notropis spectrunculus","2023-08-02",2362330,924,924,NA,"code",57,3048.6,2698.4,31.71,-3.30999999999995
2907,"Notropis texanus","(Girard, 1856)","Notropis texanus","2022-09-16",2362312,8469,8426,NA,"code",1279,3081.4,2590.2,34.99,-14.13
2913,"Notropis volucellus","(Cope, 1865)","Notropis volucellus","2022-09-16",2362211,9006,8991,NA,"code",1239,3085.2,2548.2,35.37,-18.33
62430,"Notropis wickliffi","Trautman, 1931","Notropis wickliffi","2022-09-16",2362143,767,767,NA,"code",4,3026.25,2684,29.475,-4.75
3037,"Noturus gyrinus","(Mitchill, 1817)","Noturus gyrinus","2022-09-16",2341016,6534,6523,NA,"code",1627,3094.2,2555.8,36.27,-17.57
239,"Oncorhynchus mykiss","(Walbaum, 1792)","Oncorhynchus mykiss","2022-09-16",5204019,208930,198749,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5204019&occurrence_status=present","manual",186583,3160.8,2511.8,42.9300000000001,-21.97
2855,"Opsopoeodus emiliae","Hay, 1881","Opsopoeodus emiliae emiliae","2022-09-16",4286982,4198,4180,NA,"code",621,3101.6,2657.4,37.01,-7.40999999999997
253,"Osmerus mordax","(Mitchill, 1814)","Osmerus mordax","2022-09-16",4283983,50420,50384,NA,"code",45328,3055.2,2478.4,32.37,-25.31
62725,"Parachondrostoma miegii","(Steindachner, 1866)","Parachondrostoma miegii","2022-09-16",2359297,30128,30128,NA,"code",29980,3065,2632.2,33.35,-9.93000000000001
4477,"Parachondrostoma toxostoma","(Vallot, 1837)","Parachondrostoma toxostoma","2022-09-16",2359289,33051,33051,NA,"code",32943,3044,2635.4,31.25,-9.60999999999996
359,"Perca flavescens","(Mitchill, 1814)","Perca flavescens","2022-09-16",2382004,79167,79155,NA,"code",71749,3129.4,2490.4,39.79,-24.11
358,"Perca fluviatilis","Linnaeus, 1758","Perca fluviatilis","2022-09-16",8140485,930481,927556,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8140485&occurrence_status=present","manual",882138,3070.8,2418.8,33.9300000000001,-31.27
3489,"Percina caprodes","(Rafinesque, 1818)","Percina caprodes","2022-09-16",2382103,10137,10134,NA,"code",3402,3083,2512.8,35.15,-21.8699999999999
3493,"Percina evides","(Jordan & Copeland, 1877)","Percina evides","2022-09-16",2382105,1072,1072,NA,"code",104,3050.6,2644.6,31.91,-8.69
3511,"Percina shumardi","(Girard, 1859)","Percina shumardi","2022-09-16",2382101,1010,1009,NA,"code",64,3080.8,2585.2,34.9300000000001,-14.63
3065,"Percopsis omiscomaycus","(Walbaum, 1792)","Percopsis omiscomaycus","2022-09-16",2401709,19308,19291,NA,"code",17205,3036,2501.4,30.45,-23.01
2922,"Phenacobius crassilabrum","Minckley & Craddock, 1962","Phenacobius crassilabrum","2022-09-16",2363798,223,223,NA,"code",8,2997.2,2701.5,26.57,-3
64179,"Phoxinus bigerri","Kottelat, 2007","Phoxinus bigerri","2022-09-16",5207399,58105,58105,NA,"code",57199,3035.6,2632.8,30.41,-9.86999999999995
4661,"Phoxinus phoxinus","(Linnaeus, 1758)","Phoxinus phoxinus","2022-09-16",4409653,980606,978891,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4409653&occurrence_status=present","manual",970015,3055.8,2493.2,32.4300000000001,-23.83
2931,"Pimephales notatus","(Rafinesque, 1820)","Pimephales notatus","2022-09-16",2367736,24974,24953,NA,"code",6184,3066,2558,33.45,-17.35
2934,"Pimephales vigilax","(Baird & Girard, 1853)","Pimephales vigilax","2022-09-16",2367733,12639,12590,NA,"code",780,3100,2590.4,36.85,-14.11
1341,"Platichthys flesus","(Linnaeus, 1758)","Platichthys flesus","2022-09-16",2409330,95837,95183,NA,"code",37960,3044.4,2604,31.29,-12.75
3387,"Pomoxis annularis","Rafinesque, 1818","Pomoxis annularis","2022-09-16",2394534,19776,19766,NA,"code",14477,3158.2,2555,42.67,-17.65
3388,"Pomoxis nigromaculatus","(Lesueur, 1829)","Pomoxis nigromaculatus","2022-09-16",2394526,65776,65753,NA,"code",61000,3160.4,2536.6,42.89,-19.49
4691,"Pseudorasbora parva","(Temminck & Schlegel, 1846)","Pseudorasbora parva","2022-09-16",2362868,77242,76805,NA,"code",70708,3113.4,2532.6,38.1900000000001,-19.89
3273,"Pungitius pungitius","(Linnaeus, 1758)","Pungitius pungitius","2022-09-16",5739510,108583,106520,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5739510&occurrence_status=present","manual",46541,3003.8,2372.8,27.23,-35.8699999999999
3051,"Pylodictis olivaris","(Rafinesque, 1818)","Pylodictis olivaris","2022-09-16",2341077,9165,9161,NA,"code",6628,3161.8,2586.2,43.03,-14.53
2943,"Rhinichthys atratulus","(Hermann, 1804)","Rhinichthys atratulus","2022-09-16",2359823,14971,14967,NA,"code",7371,3049.8,2558,31.83,-17.35
2944,"Rhinichthys cataractae","(Valenciennes, 1842)","Rhinichthys cataractae","2022-09-16",2359811,13147,13144,NA,"code",4756,3099.4,2488.2,36.79,-24.33
4483,"Rhodeus amarus","(Bloch, 1782)","Rhodeus amarus","2022-09-16",2360842,143689,143633,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2360842&occurrence_status=present","manual",140856,3054.2,2604,32.27,-12.75
2948,"Rhodeus sericeus","(Pallas, 1776)","Rhodeus sericeus","2022-09-16",2360803,2249,2210,NA,"code",2074,3041.8,2674.4,31.03,-5.70999999999998
272,"Rutilus rutilus","(Linnaeus, 1758)","Rutilus rutilus","2022-09-16",2359706,1307201,1304156,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2359706&occurrence_status=present","manual",1262313,3059.4,2484,32.79,-24.75
4877,"Salaria fluviatilis","(Asso, 1801)","Salaria fluviatilis","2022-09-16",4409525,13394,13392,NA,"code",13046,3081.4,2632.6,34.99,-9.88999999999999
236,"Salmo salar","Linnaeus, 1758","Salmo salar","2022-09-16",7595433,641586,598500,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7595433&occurrence_status=present","manual",88588,2998.8,2558.4,26.73,-17.31
238,"Salmo trutta","Linnaeus, 1758","Salmo trutta","2022-09-16",8215487,2238810,2171592,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8215487&occurrence_status=present","manual",847355,3152.8,2515,42.1300000000001,-21.65
246,"Salvelinus fontinalis","(Mitchill, 1814)","Salvelinus fontinalis","2022-09-16",2351271,66271,66144,NA,"code",62219,3126.2,2426.2,39.47,-30.53
248,"Salvelinus namaycush","(Walbaum, 1792)","Salvelinus namaycush","2022-09-16",2351327,26149,26123,NA,"code",24913,3067.8,2370.8,33.6300000000001,-36.07
3515,"Sander canadensis","(Griffith & Smith, 1834)","Sander canadensis","2022-09-16",2382152,2058,2049,NA,"code",909,3073.6,2521.6,34.21,-20.99
